Year,Nationality,الجنس,الجنسية,Sex,Age Group,Population
2010,Bahraini,بحريني,ذكر,Male,4-0,32612.0
2010,Bahraini,بحريني,ذكر,Male,9-5,30337.0
2010,Bahraini,بحريني,ذكر,Male,44-40,16067.0
2010,Bahraini,بحريني,ذكر,Male,54-50,13419.0
2010,Bahraini,بحريني,ذكر,Male,85 +,821.0
2010,Bahraini,بحريني,انثى,Female,4-0,31384.0
2010,Bahraini,بحريني,انثى,Female,9-5,28828.0
2010,Bahraini,بحريني,انثى,Female,29-25,23596.0
2010,Bahraini,بحريني,انثى,Female,39-35,17426.0
2010,Bahraini,بحريني,انثى,Female,64-60,5626.0
2010,Bahraini,بحريني,انثى,Female,69-65,4251.0
2010,Bahraini,بحريني,انثى,Female,79-75,2139.0
2010,Bahraini,بحريني,انثى,Female,84-80,1319.0
2010,Non-Bahraini,غير بحريني,ذكر,Male,9-5,12220.0
2010,Non-Bahraini,غير بحريني,ذكر,Male,14-10,8995.0
2010,Non-Bahraini,غير بحريني,ذكر,Male,24-20,37607.0
2010,Non-Bahraini,غير بحريني,ذكر,Male,49-45,36191.0
2010,Non-Bahraini,غير بحريني,ذكر,Male,74-70,362.0
2010,Non-Bahraini,غير بحريني,ذكر,Male,79-75,184.0
2010,Non-Bahraini,غير بحريني,ذكر,Male,84-80,98.0
2010,Non-Bahraini,غير بحريني,انثى,Female,4-0,12555.0
2010,Non-Bahraini,غير بحريني,انثى,Female,19-15,6188.0
2010,Non-Bahraini,غير بحريني,انثى,Female,39-35,23488.0
2010,Non-Bahraini,غير بحريني,انثى,Female,59-55,3203.0
2010,Non-Bahraini,غير بحريني,انثى,Female,64-60,1217.0
2011,Bahraini,بحريني,ذكر,Male,4-0,33434.0
2011,Bahraini,بحريني,ذكر,Male,14-10,29985.0
2011,Bahraini,بحريني,ذكر,Male,19-15,30533.0
2011,Bahraini,بحريني,ذكر,Male,54-50,13998.0
2011,Bahraini,بحريني,ذكر,Male,79-75,1996.0
2011,Bahraini,بحريني,انثى,Female,14-10,28397.0
2011,Bahraini,بحريني,انثى,Female,49-45,17711.0
2011,Non-Bahraini,غير بحريني,ذكر,Male,14-10,8687.0
2011,Non-Bahraini,غير بحريني,ذكر,Male,19-15,7226.0
2011,Non-Bahraini,غير بحريني,ذكر,Male,59-55,13012.0
2011,Non-Bahraini,غير بحريني,ذكر,Male,69-65,912.0
2011,Non-Bahraini,غير بحريني,ذكر,Male,84-80,97.0
2011,Non-Bahraini,غير بحريني,انثى,Female,4-0,12743.0
2011,Non-Bahraini,غير بحريني,انثى,Female,19-15,5807.0
2011,Non-Bahraini,غير بحريني,انثى,Female,29-25,26400.0
2011,Non-Bahraini,غير بحريني,انثى,Female,44-40,16144.0
2011,Non-Bahraini,غير بحريني,انثى,Female,54-50,6762.0
2011,Non-Bahraini,غير بحريني,انثى,Female,64-60,1132.0
2011,Non-Bahraini,غير بحريني,انثى,Female,74-70,226.0
2011,Non-Bahraini,غير بحريني,انثى,Female,79-75,138.0
2011,Non-Bahraini,غير بحريني,انثى,Female,85 +,40.0
2012,Bahraini,بحريني,ذكر,Male,4-0,35041.0
2012,Bahraini,بحريني,ذكر,Male,14-10,30007.0
2012,Bahraini,بحريني,ذكر,Male,34-30,23160.0
2012,Bahraini,بحريني,ذكر,Male,54-50,15049.0
2012,Bahraini,بحريني,ذكر,Male,64-60,8146.0
2012,Bahraini,بحريني,ذكر,Male,69-65,4326.0
2012,Bahraini,بحريني,ذكر,Male,74-70,3516.0
2012,Bahraini,بحريني,ذكر,Male,79-75,2007.0
2012,Bahraini,بحريني,انثى,Female,29-25,24658.0
2012,Bahraini,بحريني,انثى,Female,44-40,16847.0
2012,Bahraini,بحريني,انثى,Female,69-65,4315.0
2012,Bahraini,بحريني,انثى,Female,79-75,2285.0
2012,Non-Bahraini,غير بحريني,ذكر,Male,74-70,402.0
2012,Non-Bahraini,غير بحريني,ذكر,Male,79-75,191.0
2012,Non-Bahraini,غير بحريني,انثى,Female,9-5,8086.0
2012,Non-Bahraini,غير بحريني,انثى,Female,34-30,26011.0
2012,Non-Bahraini,غير بحريني,انثى,Female,39-35,21743.0
2012,Non-Bahraini,غير بحريني,انثى,Female,64-60,1214.0
2013,Bahraini,بحريني,ذكر,Male,9-5,33424.0
2013,Bahraini,بحريني,ذكر,Male,14-10,30891.0
2013,Bahraini,بحريني,ذكر,Male,59-55,12402.0
2013,Bahraini,بحريني,ذكر,Male,64-60,8753.0
2013,Bahraini,بحريني,ذكر,Male,79-75,2113.0
2013,Bahraini,بحريني,انثى,Female,39-35,19272.0
2013,Bahraini,بحريني,انثى,Female,49-45,17663.0
2013,Bahraini,بحريني,انثى,Female,54-50,15663.0
2013,Bahraini,بحريني,انثى,Female,59-55,11830.0
2013,Bahraini,بحريني,انثى,Female,64-60,6920.0
2013,Bahraini,بحريني,انثى,Female,69-65,4619.0
2013,Non-Bahraini,غير بحريني,ذكر,Male,24-20,34764.0
2013,Non-Bahraini,غير بحريني,ذكر,Male,44-40,55992.0
2013,Non-Bahraini,غير بحريني,ذكر,Male,59-55,14065.0
2013,Non-Bahraini,غير بحريني,انثى,Female,4-0,9890.0
