Year,Nationality,الجنسية,Sex,الجنس,Governorate,المحافظات,Population
2010,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,98243
2010,Bahraini,بحريني,Male,ذكر,Central,الوسطى,86735
2010,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,17259
2010,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,15805
2010,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,52123
2010,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,51752
2010,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,29691
2011,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,33710
2011,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,53580
2011,Bahraini,بحريني,Male,ذكر,Central,الوسطى,89219
2011,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,16422
2011,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,165557
2011,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,50457
2011,Non-Bahraini,غير بحريني,Male,ذكر,Not Stated,غير مبين,19561
2011,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,64191
2011,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,27566
2011,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,24392
2012,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,60293
2012,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,55844
2012,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,59528
2012,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,27080
2013,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,55398
2013,Bahraini,بحريني,Female,انثى,Northern,الشمالية,106461
2013,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,58219
2013,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,59696
2013,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,93586
2013,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,34589
2014,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,83859
2014,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,60319
2014,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,63669
2014,Bahraini,بحريني,Female,انثى,Capital,العاصمة,82606
2014,Bahraini,بحريني,Female,انثى,Northern,الشمالية,109616
2014,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,98047
2014,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,94382
2015,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,62642
2015,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,115772
2015,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,60506
2015,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,73302
2015,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,96773
2015,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,36963
2016,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,64339
2017,Bahraini,بحريني,Female,انثى,Capital,العاصمة,84476
2017,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,64054
2017,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,64499
2017,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,127942
2017,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,100312
2017,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,34590
2017,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,41123
2018,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,65258
2018,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,95956
2018,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,135311
2018,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,99783
2018,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,34939
2019,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,133924
2019,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,66339
2019,Bahraini,بحريني,Female,انثى,Northern,الشمالية,130020
2019,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,65438
2019,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,92844
2019,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,42703
2020,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,84617
2020,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,139291
2020,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,68930
2020,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,67041
2020,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,65485
2020,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,89925
2020,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,70575
2020,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,125001
2020,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,37266
2020,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,30924
2021,Bahraini,بحريني,Males,ذكور,Capital,العاصمة,83060
2021,Bahraini,بحريني,Males,ذكور,Northern,الشمالية,145023
2021,Non-Bahraini,غير بحريني,Males,ذكور,Muharraq,المحرق,84640
2021,Non-Bahraini,غير بحريني,Males,ذكور,Southern,الجنوبية,127103
2021,Non-Bahraini,غير بحريني,Females,إناث,Muharraq,المحرق,40930
2021,Non-Bahraini,غير بحريني,Females,إناث,Southern,الجنوبية,46879
2010,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,34291
2010,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,51924
2010,Bahraini,بحريني,Female,انثى,Capital,العاصمة,33570
2010,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,50735
