Nationality,Sex,Cause of Death,الوفيات,سبب الوفاة,جنس,الجنسية,سنة
Bahraini,Male,Certain Infectious & Parasitic Diseases,35,الأمراض المعدية (الأنتانية والطفيلية),ذكر,بحريني,2002
Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,11,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,بحريني,2002
Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,بحريني,2002
Bahraini,Female,Neoplasms,100,الأورام,انثى,بحريني,2002
Bahraini,Female,Diseases of the Blood & Blood Forming Organs,14,أمراض الدم وأعضاء تكوين الدم,انثى,بحريني,2002
Bahraini,Female,Diseases of the Nervous System & Sense Organs,10,أمراض الجهاز العصبي,انثى,بحريني,2002
Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,بحريني,2002
Bahraini,Female,Diseases of the Respiratory System,45,أمراض الجهاز التنفسي,انثى,بحريني,2002
Bahraini,Female,Diseases of the Skin & Subcutaneous Tissue,19,أمراض الجلد والنسيج الخلوي تحت الجلد,انثى,بحريني,2002
Bahraini,Female,Diseases of the Musculoskelatal System & Connective Tissue,0,أمراض الجهاز الهيكلي والنسيج الضام,انثى,بحريني,2002
Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",2,الحمل والولادة والنفاس*,انثى,بحريني,2002
Bahraini,Female,External Causes of Morbidity & Mortality,28,الأسباب الخارجية للمرض والوفاة,انثى,بحريني,2002
Non-Bahraini,Male,Neoplasms,12,الأورام,ذكر,غير بحريني,2002
Non-Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",21,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,غير بحريني,2002
Non-Bahraini,Male,Mental Disorder,0,الإضطرابات العقلية,ذكر,غير بحريني,2002
Non-Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,غير بحريني,2002
Non-Bahraini,Male,Diseases of Genitourinary System,7,أمراض الجهاز التناسلي البولي,ذكر,غير بحريني,2002
Non-Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,غير بحريني,2002
Non-Bahraini,Male,Conditions Originating in the Perinental Period,4,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,غير بحريني,2002
Non-Bahraini,Male,Undefined illness,25,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2002
Non-Bahraini,Male,External Causes of Morbidity & Mortality,77,الأسباب الخارجية للمرض والوفاة,ذكر,غير بحريني,2002
Non-Bahraini,Male,Others,0,أخرى,ذكر,غير بحريني,2002
Non-Bahraini,Female,Certain Infectious & Parasitic Diseases,3,الأمراض المعدية (الأنتانية والطفيلية),انثى,غير بحريني,2002
Non-Bahraini,Female,Diseases of the Blood & Blood Forming Organs,1,أمراض الدم وأعضاء تكوين الدم,انثى,غير بحريني,2002
