Year,الجنس,Sex,International Disease Code,سبب الوفاة,Cause of Death,الجنسية,Nationality,Deaths
2011,ذكر,Male,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,بحريني,Bahraini,55
2011,ذكر,Male,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,22
2011,ذكر,Male,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2011,ذكر,Male,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,309
2011,ذكر,Male,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,12
2011,ذكر,Male,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,78
2011,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,13
2011,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,1
2011,ذكر,Male,-,أخرى,Others,بحريني,Bahraini,6
2012,ذكر,Male,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",بحريني,Bahraini,111
2012,ذكر,Male,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,2
2012,ذكر,Male,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,22
2012,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,98
2012,ذكر,Male,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,بحريني,Bahraini,36
2012,ذكر,Male,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",بحريني,Bahraini,0
2012,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,22
2012,ذكر,Male,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,67
2012,ذكر,Male,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,1
2013,ذكر,Male,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,بحريني,Bahraini,28
2013,ذكر,Male,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,1
2013,ذكر,Male,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,22
2013,ذكر,Male,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2013,ذكر,Male,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,69
2013,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,23
2013,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,17
2013,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,17
2014,ذكر,Male,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,بحريني,Bahraini,27
2014,ذكر,Male,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",بحريني,Bahraini,51
2014,ذكر,Male,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2014,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,97
2014,ذكر,Male,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,6
2015,ذكر,Male,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,بحريني,Bahraini,23
2015,ذكر,Male,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,بحريني,Bahraini,53
