Nationality,Sex,Death,الجنس,الجنسية,year
Non-Bahraini,Female,122,انثى,غير بحريني,2000
Non-Bahraini,Male,292,ذكر,غير بحريني,2001
Non-Bahraini,Female,75,انثى,غير بحريني,2002
Bahraini,Male,994,ذكر,بحريني,2005
Non-Bahraini,Male,333,ذكر,غير بحريني,2005
Non-Bahraini,Female,84,انثى,غير بحريني,2005
Non-Bahraini,Female,148,انثى,غير بحريني,2006
Non-Bahraini,Male,389,ذكر,غير بحريني,2008
Non-Bahraini,Female,95,انثى,غير بحريني,2008
Bahraini,Female,837,انثى,بحريني,2009
Non-Bahraini,Male,401,ذكر,غير بحريني,2009
Bahraini,Male,1044,ذكر,بحريني,2010
Non-Bahraini,Female,140,انثى,غير بحريني,2012
Non-Bahraini,Female,131,انثى,غير بحريني,2013
Bahraini,Male,1252,ذكر,بحريني,2014
Bahraini,Male,1185,ذكر,بحريني,2015
Bahraini,Female,956,انثى,بحريني,2015
Non-Bahraini,Male,482,ذكر,غير بحريني,2015
Non-Bahraini,Female,164,انثى,غير بحريني,2015
Bahraini,Male,1238,ذكر,بحريني,2016
Bahraini,Female,1029,انثى,بحريني,2016
Non-Bahraini,Female,147,انثى,غير بحريني,2016
Bahraini,Male,1266,ذكر,بحريني,2017
Non-Bahraini,Male,517,ذكر,غير بحريني,2017
Non-Bahraini,Female,147,انثى,غير بحريني,2017
Bahraini,Female,1068,انثى,بحريني,2018
Bahraini,Female,1093,انثى,بحريني,2019
Non-Bahraini,Male,462,ذكر,غير بحريني,2019
Bahraini,Female,1087,انثى,بحريني,2020
Non-Bahraini,Male,645,ذكر,غير بحريني,2020
Bahraini,Male,862,ذكر,بحريني,2000
Bahraini,Male,916,ذكر,بحريني,2001
Non-Bahraini,Female,93,انثى,غير بحريني,2001
Bahraini,Male,951,ذكر,بحريني,2002
Non-Bahraini,Male,288,ذكر,غير بحريني,2002
Non-Bahraini,Male,288,ذكر,غير بحريني,2003
Bahraini,Female,818,انثى,بحريني,2004
Non-Bahraini,Male,312,ذكر,غير بحريني,2004
Non-Bahraini,Female,101,انثى,غير بحريني,2004
Bahraini,Male,1023,ذكر,بحريني,2007
Bahraini,Female,751,انثى,بحريني,2007
Bahraini,Male,1080,ذكر,بحريني,2008
Bahraini,Female,826,انثى,بحريني,2008
Bahraini,Male,1050,ذكر,بحريني,2009
Bahraini,Female,867,انثى,بحريني,2010
Non-Bahraini,Male,376,ذكر,غير بحريني,2010
Non-Bahraini,Female,114,انثى,غير بحريني,2010
Bahraini,Male,1170,ذكر,بحريني,2011
Bahraini,Female,904,انثى,بحريني,2011
Non-Bahraini,Male,350,ذكر,غير بحريني,2011
Bahraini,Male,1137,ذكر,بحريني,2012
Bahraini,Female,924,انثى,بحريني,2012
Non-Bahraini,Male,412,ذكر,غير بحريني,2012
Bahraini,Male,1114,ذكر,بحريني,2013
Bahraini,Female,889,انثى,بحريني,2013
Bahraini,Female,954,انثى,بحريني,2014
Non-Bahraini,Female,153,انثى,غير بحريني,2014
Bahraini,Male,1312,ذكر,بحريني,2018
Non-Bahraini,Male,482,ذكر,غير بحريني,2018
Bahraini,Male,1303,ذكر,بحريني,2019
Non-Bahraini,Female,211,انثى,غير بحريني,2020
Bahraini,Female,710,انثى,بحريني,2000
Non-Bahraini,Male,351,ذكر,غير بحريني,2000
Bahraini,Female,678,انثى,بحريني,2001
Bahraini,Female,721,انثى,بحريني,2002
Bahraini,Male,954,ذكر,بحريني,2003
Bahraini,Female,784,انثى,بحريني,2003
Non-Bahraini,Female,88,انثى,غير بحريني,2003
Bahraini,Male,984,ذكر,بحريني,2004
Bahraini,Female,811,انثى,بحريني,2005
Bahraini,Male,1015,ذكر,بحريني,2006
Bahraini,Female,790,انثى,بحريني,2006
Non-Bahraini,Male,364,ذكر,غير بحريني,2006
Non-Bahraini,Male,400,ذكر,غير بحريني,2007
Non-Bahraini,Female,96,انثى,غير بحريني,2007
Non-Bahraini,Female,99,انثى,غير بحريني,2009
Non-Bahraini,Female,104,انثى,غير بحريني,2011
Non-Bahraini,Male,435,ذكر,غير بحريني,2013
Non-Bahraini,Male,446,ذكر,غير بحريني,2014
Non-Bahraini,Male,444,ذكر,غير بحريني,2016
Bahraini,Female,972,انثى,بحريني,2017
Non-Bahraini,Female,190,انثى,غير بحريني,2018
Non-Bahraini,Female,152,انثى,غير بحريني,2019
Bahraini,Male,1545,ذكر,بحريني,2020
