label,Total Population
2021,1463265
2020,1477469
2019,1494188
2018,1487340
2017,1456834
2016,1409661
2015,1362142
2014,1311134
2013,1261673
2012,1224939
2011,1212077
2010,1213645
2009,1179453
2008,1110343
2007,1040532
2006,970981
2005,901921
2004,833451
2003,778256
2002,748324
2001,730257
2000,711442
1999,692133
1998,672484
1997,652643
1996,632756
1995,612934
1994,593254
1993,573755
1992,554470
1991,535415
1990,517418
1989,500349
1988,483337
1987,466565
1986,450196
1985,434375
1984,419217
1983,404772
1982,391017
1981,377430
1980,362595
1979,346697
1978,330912
1977,315337
1976,300044
1975,285116
1974,270627
1973,256632
1972,243143
1971,230992
1970,222555
1969,216696
1968,210801
1967,204916
1966,199019
1965,193012
1964,186587
1963,179891
1962,173359
1961,166970
1960,160691
